ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13358878,JH140430,02/05/2024 02:23:00 AM,022XX S LAKE SHORE DR NB,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,STREET,true,false,0132,001,4,33,26,1180393,1889556,2024,02/13/2024 03:41:06 PM,41.85220543,-87.61338823,"(41.85220543, -87.61338823)"
13358637,JH140387,02/05/2024 02:30:00 AM,015XX S HAMLIN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,1014,010,24,29,08B,1151295,1892195,2024,02/13/2024 03:41:06 PM,41.860066967,-87.720117178,"(41.860066967, -87.720117178)"
13358734,JH140534,02/05/2024 02:30:00 AM,083XX S KEDVALE AVE,0810,THEFT,OVER $500,STREET,false,false,0834,008,18,70,06,1150193,1848867,2024,02/13/2024 03:41:06 PM,41.741190015,-87.725287435,"(41.741190015, -87.725287435)"
13358605,JH140395,02/05/2024 02:35:00 AM,017XX W AUGUSTA BLVD,0320,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,false,false,1213,012,1,24,03,1164464,1906716,2024,02/13/2024 03:41:06 PM,41.899645515,-87.671366124,"(41.899645515, -87.671366124)"
13358557,JH140384,02/05/2024 02:36:00 AM,039XX N ALBANY AVE,0810,THEFT,OVER $500,STREET,false,false,1733,017,33,16,06,1155018,1926050,2024,02/13/2024 03:41:06 PM,41.952894298,-87.705541446,"(41.952894298, -87.705541446)"
13363543,JH146242,02/05/2024 02:43:00 AM,042XX S COTTAGE GROVE AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,0214,002,4,38,05,1182309,1877148,2024,02/13/2024 03:41:06 PM,41.81811276,-87.60674129,"(41.81811276, -87.60674129)"
13358631,JH140392,02/05/2024 02:45:00 AM,037XX N BROADWAY,0460,BATTERY,SIMPLE,BAR OR TAVERN,false,false,1925,019,46,6,08B,1170406,1925185,2024,02/13/2024 03:41:06 PM,41.950197458,-87.648999894,"(41.950197458, -87.648999894)"
13358683,JH140409,02/05/2024 02:48:00 AM,030XX W SCHUBERT AVE,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,VEHICLE - COMMERCIAL,false,false,1411,014,1,22,02,1155486,1917792,2024,02/13/2024 03:41:06 PM,41.930224344,-87.704043899,"(41.930224344, -87.704043899)"
13358834,JH140431,02/05/2024 03:00:00 AM,019XX S INDIANA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,0132,001,3,33,14,1177954,1891026,2024,02/13/2024 03:41:06 PM,41.856294972,-87.62229526,"(41.856294972, -87.62229526)"
13358715,JH140549,02/05/2024 03:00:00 AM,050XX S LAPORTE AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,false,0814,008,23,56,26,1144212,1870719,2024,02/13/2024 03:41:06 PM,41.801269584,-87.746655645,"(41.801269584, -87.746655645)"
13380908,JH166826,02/05/2024 03:00:00 AM,005XX W 60TH PL,0810,THEFT,OVER $500,STREET,false,false,0711,007,20,68,06,1173859,1864788,2024,02/28/2024 03:40:28 PM,41.784387563,-87.638105128,"(41.784387563, -87.638105128)"
13358627,JH140403,02/05/2024 03:10:00 AM,017XX W WINNEMAC AVE,0810,THEFT,OVER $500,STREET,false,false,2032,020,47,3,06,1163713,1933582,2024,02/13/2024 03:41:06 PM,41.973383207,-87.673364882,"(41.973383207, -87.673364882)"
13358653,JH140422,02/05/2024 03:20:00 AM,039XX S LAKE PARK AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,false,false,0214,002,4,36,04A,1183292,1879180,2024,02/13/2024 03:41:06 PM,41.823665846,-87.603072021,"(41.823665846, -87.603072021)"
13358664,JH140406,02/05/2024 03:29:00 AM,007XX S CLARK ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0123,001,4,32,08B,1175633,1897092,2024,02/13/2024 03:41:06 PM,41.872992906,-87.63063219,"(41.872992906, -87.63063219)"
13358583,JH140408,02/05/2024 03:35:00 AM,082XX S DREXEL AVE,141A,WEAPONS VIOLATION,UNLAWFUL USE - HANDGUN,STREET,false,false,0631,006,8,44,15,1183667,1850616,2024,02/13/2024 03:41:06 PM,41.745274969,-87.602586885,"(41.745274969, -87.602586885)"
13359545,JH141499,02/05/2024 03:39:00 AM,035XX N CLARK ST,0610,BURGLARY,FORCIBLE ENTRY,BAR OR TAVERN,true,false,1924,019,44,6,05,1168583,1923729,2024,02/15/2024 03:40:11 PM,41.946241881,-87.655743334,"(41.946241881, -87.655743334)"
13361716,JH143118,02/05/2024 03:45:00 AM,027XX N HOYNE AVE,0810,THEFT,OVER $500,STREET,false,false,1931,019,32,7,06,1162342,1918286,2024,02/13/2024 03:41:06 PM,41.931439065,-87.678835913,"(41.931439065, -87.678835913)"
13358877,JH140769,02/05/2024 03:54:00 AM,079XX S ST LAWRENCE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,false,true,0624,006,6,44,26,1181612,1852476,2024,02/13/2024 03:41:06 PM,41.750426656,-87.610059386,"(41.750426656, -87.610059386)"
